Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
VoiceMeeter Input,Device,Render,VB-Audio VoiceMeeter VAIO,,,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.0.00000000}.{18466342-587c-4912-acef-f616f72b3c40},VB-Audio VoiceMeeter VAIO\Device\VoiceMeeter Input\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{18466342-587c-4912-acef-f616f72b3c40}
VoiceMeeter Output,Device,Capture,VB-Audio VoiceMeeter VAIO,,,,Active,No,-0.00 dB,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{0.0.1.00000000}.{6d646b21-1c56-4465-b28c-e86da10a0334},VB-Audio VoiceMeeter VAIO\Device\VoiceMeeter Output\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{6d646b21-1c56-4465-b28c-e86da10a0334}
Wave In Volume,Subunit,Capture,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020007,VB-Audio VoiceMeeter AUX VAIO\Subunit\Wave In Volume,,,,
Wave In Volume,Subunit,Capture,VB-Audio Cable A,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020007,VB-Audio Cable A\Subunit\Wave In Volume,,,,
Wave In Volume,Subunit,Capture,VB-Audio Cable B,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0003#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020007,VB-Audio Cable B\Subunit\Wave In Volume,,,,
Wave In Volume,Subunit,Capture,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020007,VB-Audio VoiceMeeter VAIO\Subunit\Wave In Volume,,,,
Wave Volume,Subunit,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020000,VB-Audio VoiceMeeter AUX VAIO\Subunit\Wave Volume,,,,
Wave Volume,Subunit,Render,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020000,VB-Audio VoiceMeeter VAIO\Subunit\Wave Volume,,,,
Wave Volume,Subunit,Render,VB-Audio Cable A,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020000,VB-Audio Cable A\Subunit\Wave Volume,,,,
Wave Volume,Subunit,Render,Focusrite Usb Audio,,,,,No,,,,,0.00 dB,1,,,{2}.\\?\focusriteusb#audio&adapter#1&1f5c0a88&0&id:0000000012358210#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\fniusbtr4800/00020000,Focusrite Usb Audio\Subunit\Wave Volume,,,,
Wave Volume,Subunit,Render,VB-Audio Cable B,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0003#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020000,VB-Audio Cable B\Subunit\Wave Volume,,,,
