Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Mattermost,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Programs\mattermost-desktop\Mattermost.exe%b{00000000-0000-0000-0000-000000000000}|1%b8724,VB-Audio VoiceMeeter AUX VAIO\Application\Mattermost,C:\Users\ianwm\AppData\Local\Programs\mattermost-desktop\Mattermost.exe,8724,,
Microphone,Device,Capture,2- Razer BlackShark V2 Pro,,,,Active,No,6.00 dB,100.0%,-64.00 dB,6.00 dB,1.00 dB,1,6.00 dB,100.0%,{0.0.1.00000000}.{5ef87fdb-952a-4657-b27d-5a7fd8824c4c},2- Razer BlackShark V2 Pro\Device\Microphone\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{5ef87fdb-952a-4657-b27d-5a7fd8824c4c}
Microsoft® Windows® Operating System,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|#%b{C7846B72-3919-47CB-BBB8-8CE050B3CD7C}|1%b#,VB-Audio VoiceMeeter AUX VAIO\Application\Microsoft® Windows® Operating System,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe,9908,,
Razer Synapse 3,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe%b{00000000-0000-0000-0000-000000000000}|1%b1992,VB-Audio VoiceMeeter AUX VAIO\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,1992,,
Razer Synapse 3,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|#%b{82E5A789-0D1B-4464-B01A-BA9AE32EE650}|1%b#,Focusrite Usb Audio\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,1992,,
Razer Synapse 3,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|#%b{82E5A789-0D1B-4464-B01A-BA9AE32EE650}|1%b#,VB-Audio VoiceMeeter AUX VAIO\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,1992,,
Razer Synapse 3,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|\Device\HarddiskVolume3\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe%b{00000000-0000-0000-0000-000000000000}|1%b1992,Focusrite Usb Audio\Application\Razer Synapse 3,C:\Program Files (x86)\Razer\Synapse3\WPFUI\Framework\Razer Synapse 3 Host\Razer Synapse 3.exe,1992,,
Speakers,Subunit,Render,VB-Audio Cable B,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0003#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,VB-Audio Cable B\Subunit\Speakers,,,,
Speakers,Device,Render,Focusrite Usb Audio,,,,Active,No,0.00 dB,100.0%,-96.00 dB,0.00 dB,1.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac},Focusrite Usb Audio\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{627a8113-8580-480a-a444-9742cb88b6ac}
Speakers,Subunit,Render,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,VB-Audio VoiceMeeter VAIO\Subunit\Speakers,,,,
Speakers,Subunit,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,VB-Audio VoiceMeeter AUX VAIO\Subunit\Speakers,,,,
Speakers,Subunit,Render,VB-Audio Cable A,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020004,VB-Audio Cable A\Subunit\Speakers,,,,
Speakers,Device,Render,Realtek(R) Audio Codec with THX Spatial Audio,,,,Active,No,-6.00 dB,67.3%,-96.00 dB,0.00 dB,0.13 dB,2,"-6.00 dB, -6.00 dB","67.3%, 67.3%",{0.0.0.00000000}.{5be69f67-5a55-4754-b135-95a0f47b6258},Realtek(R) Audio Codec with THX Spatial Audio\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{5be69f67-5a55-4754-b135-95a0f47b6258}
Speakers,Device,Render,2- Razer BlackShark V2 Pro,,,,Active,No,0.00 dB,100.0%,-96.00 dB,0.00 dB,1.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{c55cb5c3-1c48-4716-a8d6-56bff3e90524},2- Razer BlackShark V2 Pro\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{c55cb5c3-1c48-4716-a8d6-56bff3e90524}
Speakers,Device,Render,THX Spatial Audio,,,,Active,No,0.00 dB,100.0%,-96.00 dB,0.00 dB,1.50 dB,8,"0.00 dB, 0.00 dB, 0.00 dB, 0.00 dB, 0.00 dB, 0.00 dB, 0.00 dB, 0.00 dB","100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{e122d422-89a9-49f1-afc8-460a2a8e7676},THX Spatial Audio\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{e122d422-89a9-49f1-afc8-460a2a8e7676}
Steam,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|\Device\HarddiskVolume3\Program Files (x86)\Steam\steam.exe%b{00000000-0000-0000-0000-000000000000}|1%b13336,Focusrite Usb Audio\Application\Steam,C:\Program Files (x86)\Steam\steam.exe,13336,,
Steam,Application,Capture,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{5bb0492b-a3ae-41b3-b7a9-877617a6ec8b}|\Device\HarddiskVolume3\Program Files (x86)\Steam\steam.exe%b{00000000-0000-0000-0000-000000000000}|1%b13336,Focusrite Usb Audio\Application\Steam,C:\Program Files (x86)\Steam\steam.exe,13336,,
System Sounds,Application,Render,Realtek(R) Audio Codec with THX Spatial Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{5be69f67-5a55-4754-b135-95a0f47b6258}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio Codec with THX Spatial Audio\Application\System Sounds,,,,
System Sounds,Application,Render,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{18466342-587c-4912-acef-f616f72b3c40}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio VoiceMeeter VAIO\Application\System Sounds,,,,
System Sounds,Application,Capture,2- Razer BlackShark V2 Pro,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{5ef87fdb-952a-4657-b27d-5a7fd8824c4c}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,2- Razer BlackShark V2 Pro\Application\System Sounds,,,,
System Sounds,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio VoiceMeeter AUX VAIO\Application\System Sounds,,,,
System Sounds,Application,Capture,Realtek(R) Audio Codec with THX Spatial Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{652eb1b0-8566-4787-bf2c-64d222d0c960}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio Codec with THX Spatial Audio\Application\System Sounds,,,,
System Sounds,Application,Render,VB-Audio Cable A,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{107e5ffc-15f6-43b9-af71-865cf829ece8}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Cable A\Application\System Sounds,,,,
System Sounds,Application,Capture,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{88fe08c0-29e0-4cf9-b95f-98052a39b6bf}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio VoiceMeeter AUX VAIO\Application\System Sounds,,,,
System Sounds,Application,Capture,VB-Audio Cable A,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{89e457f6-df4d-4457-b64b-39d5816b010b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio Cable A\Application\System Sounds,,,,
System Sounds,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Focusrite Usb Audio\Application\System Sounds,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{895f00be-510a-44f5-b583-bd9f7db0b442}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,
System Sounds,Application,Render,THX Spatial Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{99a0b944-c7d6-49f0-ab46-5337d843b522}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,THX Spatial Audio\Application\System Sounds,,,,
System Sounds,Application,Capture,Realtek(R) Audio Codec with THX Spatial Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{ae19dbf7-6a36-4975-9017-fb83ca99de5e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Realtek(R) Audio Codec with THX Spatial Audio\Application\System Sounds,,,,
System Sounds,Application,Capture,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{6d646b21-1c56-4465-b28c-e86da10a0334}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,VB-Audio VoiceMeeter VAIO\Application\System Sounds,,,,
